school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,repeated,data_perimeter
MS,F,15,Urban,>3,Married,2,3,other,other,other,father,2,1,0,false,true,false,true,true,true,false,false,3,5,1,1,1,5,0,0,validation
MS,M,15,Urban,<=3,Married,4,3,teacher,services,home,mother,1,3,0,false,true,false,true,true,true,true,false,5,4,3,1,1,4,2,0,train
MS,M,16,Rural,>3,Divorced,4,4,other,teacher,reputation,mother,2,3,0,false,true,false,true,true,true,true,true,2,4,3,1,1,5,7,0,validation
MS,F,15,Rural,>3,Married,3,4,services,health,course,mother,1,3,0,true,true,true,true,true,true,true,false,4,3,2,1,1,5,2,0,train
MS,F,15,Rural,>3,Married,2,2,at_home,other,reputation,mother,1,1,0,true,true,true,true,true,true,false,false,4,3,1,1,1,2,8,0,validation
MS,F,16,Urban,<=3,Married,2,2,other,other,home,mother,2,2,1,false,true,false,true,false,true,true,true,3,3,3,1,2,3,25,0,train
MS,M,15,Urban,<=3,Married,4,4,teacher,other,home,other,1,1,0,false,true,false,false,false,true,true,true,5,4,3,2,4,5,8,0,train
MS,M,15,Urban,>3,Married,4,4,services,teacher,course,father,1,2,0,false,true,false,true,true,true,true,false,4,3,3,1,1,5,2,0,train
MS,M,15,Urban,>3,Married,2,2,services,services,course,father,1,1,0,true,true,false,false,true,true,true,false,5,4,1,1,1,1,0,1,validation
MS,F,16,Urban,<=3,Married,2,2,other,at_home,course,father,2,2,1,true,false,false,true,true,true,true,false,4,3,3,2,2,5,14,0,validation
MS,F,15,Urban,<=3,Divorced,4,3,other,other,course,mother,1,2,0,true,true,true,true,true,true,true,true,5,2,2,1,1,5,8,0,train
MS,F,16,Urban,<=3,Divorced,3,3,other,services,home,mother,1,2,0,false,true,false,false,true,true,true,false,2,3,5,1,4,3,12,0,validation
MS,M,16,Urban,>3,Married,4,3,health,services,reputation,mother,1,4,0,false,false,false,true,true,true,true,false,4,2,2,1,1,2,4,0,validation
MS,M,15,Urban,>3,Married,4,2,teacher,other,home,mother,1,2,0,false,true,true,false,true,true,false,false,4,3,3,2,2,5,2,0,validation
MS,F,15,Urban,>3,Married,4,4,services,teacher,other,father,1,2,1,true,true,false,true,false,true,true,false,4,4,4,1,1,3,2,1,train
MS,F,16,Urban,<=3,Married,2,2,services,services,course,mother,3,2,0,false,true,true,false,true,true,true,false,4,3,3,2,3,4,2,0,train
MS,F,15,Urban,<=3,Married,4,2,health,other,other,mother,1,2,0,false,true,true,false,true,true,true,false,4,3,3,1,1,5,2,0,train
MS,M,15,Urban,<=3,Divorced,4,2,health,health,other,father,2,1,1,false,false,false,false,true,true,false,false,5,5,5,3,4,5,6,1,validation
MS,F,15,Urban,>3,Married,4,4,services,services,course,mother,1,1,0,true,true,true,false,true,true,true,false,3,3,4,2,3,5,0,0,train
MS,F,15,Urban,<=3,Divorced,3,3,other,other,other,mother,1,1,0,false,false,true,false,true,true,true,false,5,3,4,4,4,1,6,0,train
MS,F,16,Urban,>3,Divorced,2,1,other,other,other,mother,1,2,0,false,false,true,true,true,true,true,true,5,3,4,1,1,2,8,0,validation
MS,F,15,Urban,>3,Divorced,4,3,services,services,reputation,mother,1,2,0,false,true,true,true,true,true,true,false,4,3,2,1,1,1,0,0,train
MS,M,15,Urban,>3,Married,4,4,teacher,health,reputation,mother,1,2,0,false,true,false,true,true,true,false,false,3,2,2,1,1,5,4,0,train
MS,M,15,Urban,<=3,Married,1,2,other,at_home,home,father,1,2,0,true,true,false,true,true,true,true,false,4,3,2,1,1,5,2,0,train
MS,F,16,Urban,>3,Married,4,2,services,other,course,mother,1,2,0,false,true,false,false,true,true,true,false,4,2,3,1,1,5,2,0,train
MS,F,16,Rural,>3,Married,4,4,health,teacher,other,mother,1,2,0,false,true,false,true,true,true,false,false,2,4,4,2,3,4,6,0,train
MS,F,16,Urban,>3,Married,1,1,services,services,course,father,4,1,0,true,true,false,true,false,true,true,true,5,5,5,5,5,5,6,0,validation
MS,F,16,Urban,<=3,Married,1,2,other,services,reputation,father,1,2,0,true,false,false,true,true,true,true,false,4,4,3,1,1,1,4,0,train
MS,F,16,Urban,>3,Married,4,3,teacher,health,home,mother,1,3,0,true,true,true,true,true,true,true,false,3,4,4,2,4,4,2,0,validation
MS,F,15,Urban,<=3,Married,4,3,services,services,reputation,father,1,2,0,true,false,false,true,true,true,true,true,4,4,4,2,4,2,0,0,train
MS,F,16,Urban,<=3,Married,4,3,teacher,services,course,mother,3,2,0,false,true,false,true,true,true,true,false,5,4,3,1,2,1,2,0,train
MS,M,15,Urban,>3,Divorced,4,4,other,services,reputation,mother,1,4,0,false,true,false,true,false,true,true,true,1,3,3,5,5,3,4,0,train
MS,F,16,Urban,>3,Married,3,1,services,other,course,mother,1,4,0,true,true,true,false,true,true,true,false,4,3,3,1,2,5,4,0,train
MS,F,15,Rural,<=3,Married,2,2,health,services,reputation,mother,2,2,0,true,true,true,false,true,true,true,false,4,1,3,1,3,4,2,0,train
MS,F,15,Rural,<=3,Married,3,1,other,other,reputation,father,2,4,0,false,true,false,false,false,true,true,false,4,4,2,2,3,3,12,0,train
MS,F,15,Urban,>3,Divorced,3,3,other,health,reputation,father,1,4,0,true,false,false,false,true,true,false,false,4,3,3,1,1,4,10,0,validation
MS,F,15,Urban,>3,Married,2,2,other,other,course,mother,1,4,0,true,true,true,false,true,true,true,false,5,1,2,1,1,3,8,1,validation
MS,M,16,Urban,>3,Married,3,3,services,other,home,father,1,3,0,false,true,false,true,true,true,true,false,5,3,3,1,1,5,2,0,train
MS,M,15,Rural,>3,Married,4,4,other,other,home,father,4,4,0,false,true,true,true,true,true,true,true,1,3,5,3,5,1,6,0,train
MS,F,16,Urban,<=3,Married,4,4,health,health,other,mother,1,3,0,false,true,true,true,true,true,true,true,5,4,5,1,1,4,4,0,train
MS,M,15,Urban,<=3,Divorced,4,4,teacher,teacher,course,mother,1,1,0,false,false,false,true,true,true,true,false,5,5,3,1,1,4,6,0,train
MS,F,16,Rural,>3,Married,3,3,services,other,reputation,father,1,3,1,true,true,false,true,true,true,true,false,4,1,2,1,1,2,0,1,train
MS,F,16,Urban,>3,Married,2,2,at_home,other,home,mother,1,2,1,true,false,false,true,true,true,true,false,3,1,2,1,1,5,6,0,train
MS,M,15,Urban,<=3,Married,4,2,teacher,other,course,mother,1,1,0,false,false,false,false,true,true,true,false,3,5,2,1,1,3,10,0,validation
MS,M,15,Rural,>3,Married,2,1,health,services,reputation,mother,1,2,0,false,false,false,true,true,true,true,true,5,4,2,1,1,5,8,0,train
MS,M,16,Urban,>3,Married,4,4,teacher,teacher,course,father,1,2,0,false,true,false,true,true,true,true,false,5,4,4,1,2,5,2,0,train
MS,M,15,Urban,>3,Married,4,4,other,teacher,reputation,father,2,2,0,false,true,false,true,true,true,false,false,4,4,3,1,1,2,2,0,train
MS,M,16,Urban,>3,Married,3,3,other,services,home,father,2,1,0,false,false,false,true,true,true,true,false,5,4,2,1,1,5,0,0,train
MS,M,17,Rural,>3,Married,1,3,other,other,course,father,3,2,1,false,true,false,true,true,true,true,false,5,2,4,1,4,5,20,0,train
MS,M,15,Urban,>3,Married,3,4,other,other,reputation,father,1,1,0,false,false,false,false,true,true,true,false,3,4,3,1,2,4,6,0,train
MS,F,15,Urban,>3,Married,1,2,at_home,services,course,mother,1,2,0,false,false,false,false,false,true,true,false,3,2,3,1,2,1,2,0,validation
MS,M,15,Urban,>3,Married,2,2,services,services,home,father,1,4,0,false,true,true,true,true,true,true,false,5,5,4,1,2,5,6,0,train
MS,F,16,Urban,<=3,Married,2,4,other,health,course,father,2,2,0,false,true,true,true,true,true,true,true,4,2,2,1,2,5,2,0,validation
MS,M,16,Urban,>3,Married,4,4,health,other,course,mother,1,1,0,false,true,false,true,true,true,true,false,3,4,4,1,4,5,18,0,train
MS,F,16,Urban,>3,Married,2,2,other,other,home,mother,1,2,0,false,false,true,false,true,true,true,true,5,4,4,1,1,5,0,0,train
MS,M,15,Urban,>3,Married,3,4,services,services,home,father,1,1,0,true,false,false,false,true,true,true,false,5,5,5,3,2,5,0,0,train
MS,F,15,Urban,<=3,Divorced,3,4,other,other,home,mother,1,2,0,true,false,false,true,true,true,true,true,5,3,2,1,1,1,0,0,train
MS,F,19,Urban,>3,Married,0,1,at_home,other,course,other,1,2,3,false,true,false,false,false,false,false,false,3,4,2,1,1,5,2,1,validation
MS,M,18,Rural,>3,Married,2,2,services,other,reputation,mother,1,1,2,false,true,false,true,true,true,true,false,3,3,3,1,2,4,0,1,train
MS,M,16,Rural,>3,Married,4,4,teacher,teacher,course,mother,1,1,0,false,false,true,true,true,true,true,false,3,5,5,2,5,4,8,0,train
MS,F,15,Rural,>3,Married,3,4,services,teacher,course,father,2,3,2,false,true,false,false,true,true,true,true,4,2,2,2,2,5,0,1,validation
MS,F,15,Urban,>3,Married,1,1,at_home,other,course,mother,3,1,0,false,true,false,true,false,true,true,true,4,3,3,1,2,4,0,0,train
MS,F,17,Urban,<=3,Married,2,2,other,other,course,father,1,1,0,false,true,false,false,true,true,true,true,3,4,4,1,3,5,12,0,train
MS,F,16,Urban,>3,Divorced,3,4,services,other,course,father,1,1,0,false,false,false,false,true,true,true,false,3,2,1,1,4,5,16,0,validation
MS,M,15,Rural,>3,Married,3,4,at_home,teacher,course,mother,4,2,0,false,true,false,false,true,true,false,true,5,3,3,1,1,5,0,0,train
MS,F,15,Urban,>3,Married,4,4,services,at_home,course,mother,1,3,0,false,true,false,true,true,true,true,true,4,3,3,1,1,5,0,0,train
MS,M,17,Rural,>3,Married,3,4,at_home,other,course,mother,3,2,0,false,false,false,false,true,true,false,false,5,4,5,2,4,5,0,0,train
MS,F,16,Urban,>3,Divorced,3,3,other,other,course,other,2,1,2,false,true,false,true,false,true,true,true,4,3,2,1,1,5,0,1,train
MS,M,16,Urban,<=3,Married,1,1,services,other,course,mother,1,2,1,false,false,false,false,true,true,false,true,4,4,4,1,3,5,0,0,train
MS,F,15,Urban,>3,Married,4,4,teacher,teacher,course,mother,2,1,0,false,false,false,true,true,true,true,false,4,3,2,1,1,5,0,0,validation
MS,M,15,Urban,>3,Married,4,3,teacher,services,course,father,2,4,0,true,true,false,false,true,true,true,false,2,2,2,1,1,3,0,1,train
